NCT Number,Study Title,Study URL,Acronym,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Sponsor,Collaborators,Sex,Age,Study Type,Start Date,Primary Completion Date,Locations
NCT02582827,QUILT-3.014: A Trial of ABI-011 Administered Weekly in Patients With Advanced Solid Tumors or Lymphomas,https://clinicaltrials.gov/study/NCT02582827,,"The primary objective of study CA601.2 is to determine the maximum tolerated dose (MTD) or recommended phase 2 dose (RP2D) of ABI-011 when administered by intravenous (IV) infusion on Days 1, 8, and 15, followed by a week of rest, in patients with advanced solid tumor malignancies or lymphomas. The MTD will be determined using a standard 3+3 design. The secondary objectives are to evaluate the safety and toxicity profile, to evaluate the plasma pharmacokinetics (PK), to assess the biological activity and pharmacodynamics, and to make a preliminary assessment of tumor response in patients with advanced solid tumors or lymphomas. The exploratory objectives are to determine the genomic and proteomic profile of patients' tumors to identify gene mutations, gene amplifications, levels of protein expression, and pinpoint oncoproteins. Correlations between genomic/proteomic profiles and efficacy outcomes will be assessed and principal metabolites of ABI-011 will be determined, if possible.

Approximately 45-60 patients will be treated to determine dose limiting toxicities (DLTs), the MTD, and/or RP2D of ABI-011. Once the RP2D is identified, expansion of this cohort (up to 10 patients) will occur.",NO,Neoplastic Disease,DRUG: ABI-011,"Determine maximum tolerated dose (MTD) of ABI-011, Determine the maximum tolerated dose (MTD) for repeated dosing of ABI-011, During Cycle 1 and each 28-Day treatment cycle, End of Study, Follow-up, approximately up to 1 year","NantBioScience, Inc.",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2017-11-13,2019-08-23,"Chan Soon-Shiong Institute for Medicine, El Segundo, California, 90245, United States"
NCT06900699,"Clinicopathological Features , Outcomes and Prognostic Factors of High Risk Patients of Gestational Trophoblastic Neoplasia",https://clinicaltrials.gov/study/NCT06900699,,"Aim of the Study This study aims to investigate the clinical and pathological features, treatment outcomes, and prognostic factors in high-risk patients with Gestational Trophoblastic Neoplasia (GTN).

Objectives:

* Identify common clinical and pathological features of high-risk GTN patients.
* Required surgical treatment as primary or subsequent line.
* Evaluate how well different treatments work and their side effects.
* Find factors that can help predict patient outcomes.
* Compare survival rates and relapse risks among patients.",NO,Gestational Trophoblastic Neoplasias (GTN),,"progression-free survival (time from treatment initiation to disease progression ,relapse ,or death from any cause), time from treatment initiation to disease progression ,relapse ,or death from any cause, about5-7 years from jan 2020 to dec 2027",Assiut University,,FEMALE,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL,2025-04,2026-04,
NCT06888531,Prospective Phase II Clinical Study of Neoadjuvant Chemoradiotherapy Combined With PD-1/PD-L1 Inhibitors in the Treatment of Locally Advanced Resectable Esophageal Squamous Cell Carcinoma,https://clinicaltrials.gov/study/NCT06888531,LA-ESCC,A prospective trial design was used to evaluate the efficacy and safety of neoadjuvant chemoradiotherapy combined with PD-1/PD-L1 inhibitors in the treatment of locally advanced resectable esophageal squamous cell carcinoma.,NO,Esophageal Malignant Neoplasm Primary,COMBINATION_PRODUCT: Neoadjuvant chemoradiotherapy combined with PD-1/PD-L1 inhibitors for the treatment of locally advanced resectable esophageal squamous cell carcinoma,"Pathologic complete response, pCR, From enrollment to the end of treatment at 2 years",Henan Cancer Hospital,The Affiliated Cancer Hospital of Zhengzhou University & Henan Cancer Hospital,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-03-08,2025-12-31,"Henan Cancer Hospital, Zhengzhou, Henan, China"
NCT06721715,Textbook Outcomes After Oesophagectomy in Regional Australia,https://clinicaltrials.gov/study/NCT06721715,,"The goal of this observational cohort study is to assess textbook outcomes after oesophagectomy in a regional Australian hospital. This is a composite quality measure that include 9 parameters related to cancer care. Researchers will compares the textbook outcome rate in this regional hospital and compare it to textbook outcomes rates from other Australian hospitals, as well as hospitals overseas. Participants will not be actively involved in this study, as all data will be collected from medical records only.",NO,Oesophageal Cancer Nos,,"Textbook outcome, Patients who achieve a textbook outcome. This is defined when all 9 following criteria are met: R0 resection, retrieval of 15 or more lymph nodes, no intraoperative complications, no post-operative complications Clavien-Dindo grade III or higher, no readmission to the ICU, no hospital stay longer than 21 days, no mortality within 90 days, no readmission related to the procedure within 30 days of admission, and no reintervention related to the surgical procedure (operative, endoscopic or radiologic)., from date of surgery to end of study (December 2024) for a timeframe up to 10 years",Launceston General Hospital,,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL,2024-12,2024-12,"Launceston General Hospital, Launceston, Tasmania, 7250, Australia"
NCT03788382,Failure to Adjuvant Therapy After Pancreatic Resection for Pancreatic Cancer,https://clinicaltrials.gov/study/NCT03788382,FOUNTAIN,"This study aims to evaluate the rate of patients submitted to pancreatic resection for pancreatic cancer, who fail to access to adjuvant therapy or do not complete adjuvant therapy. The purpose is to give an overview concerning the most frequent conditions and/or reasons associated with failure or omission of adjuvant therapy.",NO,Pancreatic Malignant Neoplasm Primary,,"Rate of patients who fail to receive adjuvant therapy and reasons for that, The amount of patients who will not receive adjuvant therapy after pancreatic resection for malignancy (when do indication exists) will be recorded, 6 months|Rate of patients who fail to complete adjuvant therapy and reasons for that, The amount of patients who will not complete adjuvant therapy after pancreatic resection for malignancy will be recorded, 9 months",Universita di Verona,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2019-01-01,2024-02-28,"University of Verona Hospital, Verona, 37134, Italy"
NCT03359239,Atezolizumab Given in Combination With a Personalized Vaccine in Patients With Urothelial Cancer,https://clinicaltrials.gov/study/NCT03359239,,"The purpose of this study is to determine the good and bad effects of atezolizumab given in combination with a personalized cancer vaccine in patients with urothelial cancer either after surgery to remove organ where the tumor arose (for example, removal of the bladder) or for urothelial cancer that has spread to other organs.",NO,"Urothelial/Bladder Cancer, Nos",DRUG: Atezolizumab|BIOLOGICAL: PGV001|DRUG: Poly ICLC|DRUG: Normal saline,"Number of neoantigens, Feasibility parameter: Number of neoantigens identified per subject, up to 24 months|Number of peptides synthesized, Feasibility parameter: Number of peptides synthesized per subject for vaccination, up to 24 months|Vaccine Production time, Feasibility parameter:, up to 24 months|Proportion of consent to tissue acquisition phase, Feasibility parameter: Proportion of subjects who consent to the tissue acquisition phase for whom a vaccine product is prepared, up to 24 months|Proportion of subjects eligible for the treatment phase, Feasibility parameter: Proportion of subjects eligible for the treatment phase who complete the priming course of vaccination plus atezolizumab, up to 24 months|Number of toxicities, Safety will be assessed by the frequency of toxicities as assessed by NCI-CTCAE 4.0 criteria, up to 24 months",Matthew Galsky,"Genentech, Inc.",ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2019-05-08,2021-10-12,"Icahn School of Medicine at Mount Sinai, New York, New York, 10029, United States"
NCT05076266,COVID-19 Related Financial Hardship and Distress in Women Who Decline TMIST (EA1151) Participation,https://clinicaltrials.gov/study/NCT05076266,,The purpose of this study is to find out whether factors that lead Women of Color to decline participation in the breast cancer screening trial EA1151 (TMIST) differ from non-women of color.,YES,"Breast Cancer, NOS",OTHER: Questionnaire,"Compare the Proportion of Women of Color (WOC) Participants Who Experience the Composite Outcome of COVID-related Financial Hardship vs Non-WOC Participants, Composite outcome, defined as the logistic modeling of personal changes due to COVID: including layoff or furlough, insurance loss, work hours reduction, new job/increased hours to increase income, food or housing insecurity OR household changes due to COVID: greater or equal to 20% income lose, savings use for living expenses, home sale/refinance, increased debt, declared bankruptcy, at baseline",Eastern Cooperative Oncology Group,,FEMALE,"ADULT, OLDER_ADULT",OBSERVATIONAL,2022-03-14,2023-02-02,"University of Michigan, Ann Arbor, Michigan, 48109, United States"
NCT02159742,Prospective Follow-up of Outcomes in Patients Receiving Photodynamic Therapy for Neoplastic Diseases,https://clinicaltrials.gov/study/NCT02159742,,"From 1996-present, we have used photodynamic therapy (PDT) to treat a number of neoplastic diseases both on prospective research protocols (for head and neck cancer, pleural malignancies, peritoneal carcinomatosis or sarcomatosis and prostate cancer) as well as for FDA approved and off label or compassionate exemption indications (neoplasms of the skin, bronchus, esophagus, head and neck and pleura). The goal of this treatment is to maximize quality of life and organ function while minimizing the chance of tumor recurrence. As such, we would like to retrospectively review the treatment parameters of all patients who undergo/underwent PDT (including operative notes and photodynamic therapy records) and treatment outcomes (including all organ functions, performance status, tumor recurrence, laboratory values and any other data present in the routinely documented follow up visits). For patients who have died or were lost to follow-up prior to initiation of this study, a retrospective review of available data will be performed. For patients who are still being actively followed after PDT or who receive PDT after the initiation of this study, informed consent will be obtained for obtaining continued follow-up data prospectively and any previous data will be collected retrospectively.. These subjects will continue to receive care from their current physicians according to standard medical practice and no attempt will be made to alter the types of follow-up, radiologic or other diagnostic studies or medical treatment as a result of enrollment in this study. All data will be de-identified and added to our already existing PDT treatment outcome databases for outcomes analysis, quality improvement and reporting of results in abstract and manuscript forms.",NO,Neoplastic Disease,OTHER: Data Collection,"Survival and disease free, 10 years",Abramson Cancer Center at Penn Medicine,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2011-07,2026-12,"Abramson Cancer Center of the University of Pennsylvania, Philadelphia, Pennsylvania, 19104, United States"
NCT00876408,Review of Molecular Profiling-Real Time Polymerase Chain Reaction (Rt-Pcr) in Unknown Primary Cancer,https://clinicaltrials.gov/study/NCT00876408,,"This will be a retrospective review of 30 patients with unknown primary cancer who have had commercially available RT-PCR assays performed on biopsied tumors, in order to determine if the assay results are consistent with clinical features and useful for planning initial therapy or changing therapy.",NO,Unknown Primary Cancer,,"To correlate the tissue of origin predicted by the RT-PCR assay with clinical and pathologic features of patients with carcinoma of unknown primary site., 6 months","SCRI Development Innovations, LLC","Biotheranostics, Inc.",ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2009-05,2009-11,"Tennessee Oncology, PLLC, Nashville, Tennessee, 37023, United States"
NCT04637256,Evaluation of Outcomes from Treatment of Benign or Malignant Gastroesophageal Diseases,https://clinicaltrials.gov/study/NCT04637256,,"This study will be a retrospective chart review of patients who have been diagnosed with benign or malignant pancreatic disease under the practice of Dr. Rohan Jeyarajah, M.D., Dr. Houssam Osman M.D., and Dr. Edward Cho M.D., Sc.M. at Methodist Health System Hospital in Richardson, TX. The Investigators plan to conduct an analysis of patients meeting the inclusion criteria from 2005 to present. Study will also be conducted by the PI, Sub-Is, surgery fellows, office staff and clinical research coordinator who are delegated to do by the PI. Data will be obtained by looking through either the investigator's patients from their practice or through a national database. Data will be analyzed primarily by the study conductors.",NO,Pancreatic Malignant Neoplasm Primary,,"Overall Survival, We will be examining all treatments of benign or malignant pancreatic cancer by measuring the following outcome: overall survival, 2005 to 2019",Methodist Health System,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2019-03-06,2025-01-30,"Trinity Surgical Consultants, Methodist Richardson Medical Center, Richardson, Texas, 75082, United States"
NCT02575898,"Feasibility of a Creative Writing Intervention in an Advanced Cancer Population: A Single Arm, Consecutive Cohort Study",https://clinicaltrials.gov/study/NCT02575898,,"To assess the feasibility of a creative writing intervention in an advanced cancer population. Given it is a relatively simple intervention delivered by a non-clinician, the investigators are interested in better understanding its pattern of effect on patient psychological adjustment. The investigators aim to assess its feasibility in this study in order to inform a future larger study that will utilize a control arm.",NO,Primary Malignant Neoplasm of Lung|Primary Malignant Neoplasm of Gastrointestinal Tract,OTHER: First Session|OTHER: Second Session|BEHAVIORAL: Third through Sixth Sessions,"Feasibility of a creative writing intervention in an advanced cancer population, Anyone completing the first intervention with the creative writer will be evaluable for the feasibility outcome. If the investigators see 50% of patients completing 3 months of the creative writing intervention then this would indicate the intervention should be examined in a larger pilot study., 29 months",Dartmouth-Hitchcock Medical Center,,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL,2016-01-14,2018-07-12,"Dartmouth-Hitchcock Medical Center, Lebanon, New Hampshire, 03756, United States"
